hts8,naics_str,import_value_2017_china,naics_import_total_2017_china,hs8_naics_weight
6103.39.10,315220,0.906849,6457.105895,0.00014044202073597867
6103.39.40,315220,0.005231,6457.105895,8.1011525675157e-07
6103.39.80,315220,0.310417,6457.105895,4.807370438827224e-05
6103.41.10,315220,0.9125059999999999,6457.105895,0.00014131810982170675
6103.41.20,315220,0.015305000000000001,6457.105895,2.370256930717411e-06
6103.42.10,315220,179.285341,6457.105895,0.027765587852419758
6103.42.20,315220,0.124517,6457.105895,1.92837165790356e-05
6103.43.10,315220,1.308328,6457.105895,0.00020261832797462584
6103.43.15,315220,167.312614,6457.105895,0.025911393853639133
6103.43.20,315220,1.3790850000000001,6457.105895,0.0002135763331785966
6103.49.10,315220,2.996215,6457.105895,0.0004640182534903278
6103.49.20,315220,0.017102,6457.105895,2.6485549839352605e-06
6103.49.40,315220,0.119852,6457.105895,1.856125669129978e-05
6103.49.80,315220,0.910697,6457.105895,0.00014103795335077124
6104.13.10,315240,0.260862,18029.104548,1.4468938227380676e-05
6104.13.20,315240,1.8215979999999998,18029.104548,0.00010103652098473593
6104.19.10,315240,0.000401,18029.104548,2.224181455781084e-08
6104.19.15,315240,0.110647,18029.104548,6.13713230767605e-06
6104.19.40,315240,0.059134,18029.104548,3.279918858008943e-06
6104.19.50,315240,0.000496,18029.104548,2.7511072370758547e-08
6104.19.60,315240,0.530006,18029.104548,2.939724480430696e-05
6104.19.80,315240,0.512841,18029.104548,2.8445173116314886e-05
6104.22.00,315240,0.979125,18029.104548,5.430802164318339e-05
6104.23.00,315240,0.7458229999999999,18029.104548,4.1367722840274696e-05
6104.29.10,315240,0.04306,18029.104548,2.3883604360581915e-06
6104.31.00,315240,5.244921,18029.104548,0.00029091411534256306
6104.32.00,315240,13.124687,18029.104548,0.000727972205444665
6104.33.10,315240,0.648315,18029.104548,3.595935662106517e-05
6104.33.20,315240,19.935227,18029.104548,0.0011057247433961688
6104.39.10,315240,9.29412,18029.104548,0.0005155064676260371
6104.39.20,315240,1.200793,18029.104548,6.660303049455699e-05
6104.41.00,315240,13.667628,18029.104548,0.0007580869012996087
6104.42.00,315240,166.445643,18029.104548,0.009232052682198467
6104.43.10,315240,5.9920409999999995,18029.104548,0.0003323537774184524
6104.43.20,315240,538.400184,18029.104548,0.029862835537205073
6104.44.10,315240,0.907688,18029.104548,5.034570616546186e-05
6104.44.20,315240,208.08549,18029.104548,0.011541643094142648
6104.49.10,315240,1.826832,18029.104548,0.00010132682935729349
6104.49.90,315240,10.288242,18029.104548,0.0005706463109473339
6104.51.00,315240,1.7743579999999999,18029.104548,9.841631320490804e-05
6104.52.00,315240,16.804266,18029.104548,0.0009320632622247523
6104.53.10,315240,0.495257,18029.104548,2.7469861228074124e-05
6104.53.20,315240,61.742237,18029.104548,0.003424586996853883
6104.59.10,315240,29.037072,18029.104548,0.0016105665105381583
6104.59.40,315240,0.208406,18029.104548,1.15594204606861e-05
6104.59.80,315240,0.94462,18029.104548,5.2394171739649066e-05
6104.61.00,315240,5.23888,18029.104548,0.0002905790460115313
6104.62.10,315240,1.295955,18029.104548,7.188127377872256e-05
6104.62.20,315240,329.456722,18029.104548,0.01827360427817516
6104.63.10,315240,2.575232,18029.104548,0.00014283748774897837
6104.63.15,315240,1.420387,18029.104548,7.878300312799318e-05
6104.63.20,315240,319.958036,18029.104548,0.01774675137903582
6104.69.10,315240,1.774349,18029.104548,9.84158140120626e-05
6104.69.20,315240,80.14427,18029.104548,0.004445271798531478
6104.69.40,315240,0.284081,18029.104548,1.575680030273681e-05
6104.69.80,315240,4.786526,18029.104548,0.0002654888370776561
6105.10.00,315220,136.773375,6457.105895,0.021181838616880853
6105.20.10,315220,0.226084,6457.105895,3.501320927306861e-05
6105.20.20,315220,102.621627,6457.105895,0.015892820819225547
6105.90.10,315220,1.104173,6457.105895,0.0001710012222124166
6105.90.40,315220,0.439905,6457.105895,6.812727050684368e-05
6105.90.80,315220,2.272732,6457.105895,0.0003519737846888757
6106.10.00,315240,53.349429,18029.104548,0.0029590725849952516
6106.20.10,315240,1.073317,18029.104548,5.953246303178518e-05
6106.20.20,315240,116.25870400000001,18029.104548,0.006448390361843944
6106.90.10,315240,1.067603,18029.104548,5.921553104080431e-05
6106.90.15,315240,0.40592300000000003,18029.104548,2.2514873044264962e-05
6106.90.25,315240,0.600978,18029.104548,3.333376865168091e-05
6106.90.30,315240,7.879046,18029.104548,0.000437018154674467
6107.11.00,315220,54.419829,6457.105895,0.008427897867083067
6107.12.00,315220,109.62307,6457.105895,0.016977121295917667
6107.19.10,315220,1.404947,6457.105895,0.00021758153309641516
6107.19.90,315220,2.806524,6457.105895,0.0004346411605504574
6107.21.00,315220,58.592954,6457.105895,0.009074181986913194
6107.22.00,315220,114.288464,6457.105895,0.017699642201701882
6107.29.20,315220,0.20321199999999998,6457.105895,3.147106510323074e-05
6107.29.90,315220,0.00031,6457.105895,4.8009124372583955e-08
6107.91.00,315220,32.605152,6457.105895,0.005049499346951627
6107.99.10,315220,94.801207,6457.105895,0.014681686895271214
6107.99.20,315220,0.397726,6457.105895,6.159508709745266e-05
6107.99.50,315220,0.001189,6457.105895,1.8413822219033007e-07
6107.99.90,315220,0.560963,6457.105895,8.687529817876713e-05
6108.11.00,315240,10.147653,18029.104548,0.0005628484195087602
6108.19.10,315240,0.22602,18029.104548,1.253639632507832e-05
6108.19.90,315240,0.404963,18029.104548,2.246162580741833e-05
6108.21.00,315240,73.39425800000001,18029.104548,0.004070876498863154
6108.22.10,315240,1.85671,18029.104548,0.00010298403867240141
6108.22.90,315240,439.282586,18029.104548,0.024365191561814444
6108.29.10,315240,0.198768,18029.104548,1.1024840389094626e-05
6108.29.90,315240,0.532277,18029.104548,2.952320779897227e-05
6108.31.00,315240,154.719535,18029.104548,0.00858165388015143
6108.32.00,315240,398.494692,18029.104548,0.022102855465675676
6108.39.10,315240,0.499018,18029.104548,2.7678468371595138e-05
6108.39.40,315240,0.070091,18029.104548,3.887658414392817e-06
6108.39.80,315240,1.9747839999999999,18029.104548,0.00010953311600930653
6108.91.00,315240,97.364288,18029.104548,0.005400395107853584
6108.92.00,315240,325.912764,18029.104548,0.018077035558382963
6108.99.20,315240,3.384042,18029.104548,0.00018769883945098082
6108.99.50,315240,1.5835789999999998,18029.104548,8.783458966494646e-05
6108.99.90,315240,0.847427,18029.104548,4.700327727002984e-05
6109.10.00,315220,181.247473,6457.105895,0.02806945959185017
6109.10.00,315240,171.84178,18029.104548,0.009531354124798323
6109.90.10,315220,91.971364,6457.105895,0.014243434364490935
6109.90.10,315240,179.66646,18029.104548,0.00996535682189112
