sector_code,sector_name,summary_code,summary_name,underlying_summary_code,underlying_summary_name,detail_code,detail_name,go_detail_code,go_detail_name,notes,naics_2017
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,33441A,Other electronic component manufacturing,33441A,Other electronic component manufacturing,,334419
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334510,Electromedical and electrotherapeutic apparatus manufacturing,334510,Electromedical and electrotherapeutic apparatus manufacturing,,334510
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334511,"Search, detection, and navigation instruments manufacturing",334511,"Search, detection, and navigation instruments manufacturing",,334511
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334512,Automatic environmental control manufacturing,334512,Automatic environmental control manufacturing,,334512
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334513,Industrial process variable instruments manufacturing,334513,Industrial process variable instruments manufacturing,,334513
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334514,Totalizing fluid meter and counting device manufacturing,334514,Totalizing fluid meter and counting device manufacturing,,334514
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334515,Electricity and signal testing instruments manufacturing,334515,Electricity and signal testing instruments manufacturing,,334515
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334516,Analytical laboratory instrument manufacturing,334516,Analytical laboratory instrument manufacturing,,334516
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334517,Irradiation apparatus manufacturing,334517,Irradiation apparatus manufacturing,,334517
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",33451A,"Watch, clock, and other measuring and controlling device manufacturing",33451A,"Watch, clock, and other measuring and controlling device manufacturing",,334519
33DG,Durable goods,334,Computer and electronic products,334X,Other computer and electronic product manufacturing,334300,Audio and video equipment manufacturing,334300,Audio and video equipment manufacturing,,3343
33DG,Durable goods,334,Computer and electronic products,334X,Other computer and electronic product manufacturing,334610,Manufacturing and reproducing magnetic and optical media,334610,Manufacturing and reproducing magnetic and optical media,,33461
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335110,Electric lamp bulb and part manufacturing,335110,Electric lamp bulb and part manufacturing,,33511
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335120,Lighting fixture manufacturing,335120,Lighting fixture manufacturing,,33512
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335210,Small electrical appliance manufacturing,335210,Small electrical appliance manufacturing,,33521
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335220,Major household appliance manufacturing,335220,Major household appliance manufacturing,,335220
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335311,"Power, distribution, and specialty transformer manufacturing",335311,"Power, distribution, and specialty transformer manufacturing",,335311
