naics_str,year,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted
212113,2025.0,0.25,1.0,0.374886,1.0,1.0
212234,2016.0,0.0,1.0,0.034256,1.0,0.0
212234,2017.0,0.0,1.0,0.034256,1.0,0.0
212234,2018.0,0.03333333333333333,1.0,0.034256,1.0,1.0
212234,2019.0,0.19999999999999998,1.0,0.034256,1.0,1.0
212234,2020.0,0.25,1.0,0.034256,1.0,1.0
212234,2021.0,0.25,1.0,0.034256,1.0,1.0
212234,2022.0,0.25,1.0,0.034256,1.0,1.0
212234,2023.0,0.25,1.0,0.034256,1.0,1.0
212234,2024.0,0.25,1.0,0.034256,1.0,1.0
212234,2025.0,0.25,1.0,0.034256,1.0,1.0
212299,2016.0,0.0,0.052398881501522394,38.799874,4.0,0.0
212299,2017.0,0.0,0.052398881501522394,38.799874,4.0,0.0
212299,2018.0,0.00174662938338408,0.052398881501522394,38.799874,4.0,4.0
212299,2019.0,0.010479776300304479,0.052398881501522394,38.799874,4.0,4.0
212299,2020.0,0.0130997203753806,0.052398881501522394,38.799874,4.0,4.0
212299,2021.0,0.0130997203753806,0.052398881501522394,38.799874,4.0,4.0
212299,2022.0,0.0130997203753806,0.052398881501522394,38.799874,4.0,4.0
212299,2023.0,0.0130997203753806,0.052398881501522394,38.799874,4.0,4.0
