naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
3253.0,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",0.0,0.0013297172723629005,0.0018254387710332429,0.0,0.018671327496387783,0.006823568378579989,0.0064534663108717204,0.006825829345405809,0.018671328,0.005493851,0.0046280273,0.0068258294
3254.0,3254,Pharmaceutical and Medicine Manufacturing,0.0,7.75864968374747e-07,2.8037765775311216e-06,0.0,0.0004533603807911818,6.17819877253456e-06,5.9481098304017e-06,7.071969168104244e-06,0.00045336038,5.402334e-06,3.1443333e-06,7.0719693e-06
3255.0,3255,"Paint, Coating, and Adhesive Manufacturing",0.0,0.002104747861163781,0.0019636528560879473,0.0,0.009954679818843688,0.008820058509145152,0.007932683861563337,0.008383506465567476,0.00995468,0.0067153107,0.005969031,0.008383507
3256.0,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",0.0,0.0008296167571922413,0.0008682096632631203,0.0,0.023948262690874363,0.010006660770909965,0.00864607116321537,0.011443709775429104,0.023948263,0.009177044,0.0077778613,0.01144371
3259.0,3259,Other Chemical Product and Preparation Manufacturing,0.0,0.0003517653982405568,0.0003413382926766013,0.0,0.010652586146400815,0.015411653541715038,0.0148426092679106,0.015393138560187637,0.010652586,0.015059888,0.014501271,0.015393139
3261.0,3261,Plastics Product Manufacturing,0.0,0.006975345047089447,0.006615872667799211,0.0,0.00687321809525226,0.03046194872501036,0.027326501122952533,0.02554753322129567,0.006873218,0.023486603,0.020710628,0.025547532
3262.0,3262,Rubber Product Manufacturing,0.0,0.006213786792396277,0.006290101276469523,0.0,0.002525499180414078,0.02372694014852735,0.021317417041379023,0.02155350139645821,0.002525499,0.017513154,0.015027315,0.021553501
3271.0,3271,Clay Product and Refractory Manufacturing,0.0,0.008566064672910783,0.007329114708881261,0.0,0.010191369472548256,0.02062724430835447,0.016578084250519,0.014979783074048354,0.01019137,0.01206118,0.009248969,0.014979783
3272.0,3272,Glass and Glass Product Manufacturing,0.0,0.0070314096174867715,0.007772177813341447,0.0,0.04592970654963409,0.02983549629487728,0.026477844788825165,0.02750221332000779,0.045929708,0.022804087,0.018705666,0.027502213
3273.0,3273,Cement and Concrete Product Manufacturing,0.0,0.0003996735644162278,0.00035929220646369644,0.0,0.0007282036910840946,0.025373806415966604,0.020512070568705538,0.0311682390618712,0.0007282037,0.024974132,0.020152777,0.03116824
3274.0,3274,Lime and Gypsum Product Manufacturing,0.0,0.00022289862431486827,0.00020351005233725132,0.0,0.0005172256825804959,0.0016729015783814916,0.0014100514508094647,0.0018032215632067272,0.0005172257,0.001450003,0.0012065414,0.0018032215
3279.0,3279,Other Nonmetallic Mineral Product Manufacturing,0.0,0.004281132366647882,0.0039570942758178915,0.0,0.005214210261037011,0.019884443836287572,0.016794020142050024,0.019495226478165466,0.00521421,0.015603311,0.012836926,0.019495226
3311.0,3311,Iron and Steel Mills and Ferroalloy Manufacturing,0.0,4.606460066435641e-05,4.3512007989676465e-05,0.0,0.13422159172234913,0.12808056245267002,0.12451700366235989,0.12809858223536758,0.1342216,0.1280345,0.12447349,0.12809858
3312.0,3312,Steel Product Manufacturing from Purchased Steel,0.0,0.0006061600401823172,0.0005365155600509718,0.0,0.06156433250011938,0.10845100262791288,0.09187557136092726,0.11085906838348368,0.061564334,0.107844844,0.09133906,0.110859066
